Particle_no,Area,Convex area,Perimeter,Convex_Perimeter,Max_Feret,Min_Feret,Aspect_ratio,Feret_aspect_ratio,Circularity,Convexity,Solidity,Equi_diameter,Compactness,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
331,168.5,201,65.0122,53.0708,19,15.6205,54.7435,0.822132,0.751794,0.816321,0.838308,14.6472,0.50098,20,0.95,8.425,0.42125
332,43,48,28.4853,27.3099,10.7703,6.08276,27.0266,0.56477,0.724498,0.958738,0.895833,7.39928,0.665943,6,1.79505,7.16667,1.19444
333,17,21.5,19.3137,17.6989,6.40312,5,19.3243,0.780869,0.681971,0.916391,0.790698,4.65243,0.5727,8,0.800391,2.125,0.265625
334,1.5,3,8.24264,7.81256,3.16228,1.41421,7.92576,0.447214,0.308826,0.947822,0.5,1.38198,0.27744,4,0.790569,0.375,0.09375
335,16.5,18.5,17.0711,16.4628,6,4,19.6442,0.666667,0.76504,0.964371,0.891892,4.5835,0.711496,7,0.857143,2.35714,0.336735
336,10,10.5,12.8284,12.6503,4.47214,3.16228,17.0864,0.707107,0.785253,0.986113,0.952381,3.56825,0.763595,3,1.49071,3.33333,1.11111
337,35.5,38,23.8995,23.1131,8.94427,6.08276,26.4275,0.680074,0.835066,0.967097,0.934211,6.72309,0.781018,5,1.78885,7.1,1.42
338,67.5,78,35.5563,33.5184,12.3693,8.544,34.8082,0.690742,0.754998,0.942685,0.865385,9.27058,0.670933,10,1.23693,6.75,0.675
339,31,33.5,22.4853,21.6989,7.61577,6.08276,27.3226,0.798706,0.827362,0.965027,0.925373,6.28255,0.770504,4,1.90394,7.75,1.9375
340,23,32,26.1421,21.5066,7.81025,5.83095,21.8309,0.746577,0.624877,0.822679,0.71875,5.41152,0.422917,9,0.867806,2.55556,0.283951
341,49.5,55.5,32.7279,29.9508,12.53,6.08276,26.7524,0.485457,0.693421,0.915147,0.891892,7.93885,0.580735,10,1.253,4.95,0.495
342,5,5,12.8284,12.8284,6,1.41421,9.42857,0.235702,0.381797,1,1,2.52313,0.381797,7,0.857143,0.714286,0.102041
343,4,4.5,9.65685,9.47871,4.24264,1.41421,9.45486,0.333333,0.559463,0.981552,0.888889,2.25676,0.539012,4,1.06066,1,0.25
344,148.5,180.5,66.5269,51.7618,19.6977,12,45.4284,0.609208,0.696494,0.778058,0.822715,13.7505,0.42164,18,1.09432,8.25,0.458333
345,13,16,16.4853,15.6251,5.83095,4.12311,16.8963,0.707107,0.669124,0.947822,0.8125,4.06843,0.601119,6,0.971825,2.16667,0.361111
346,8,12.5,21.6569,19.6344,9.05539,4.47214,10.3942,0.493865,0.260774,0.906614,0.64,3.19154,0.214343,10,0.905539,0.8,0.08
347,646.5,717,120.953,106.282,42.0595,23.7697,89.416,0.565146,0.719213,0.878704,0.901674,28.6906,0.555319,40,1.05149,16.1625,0.404063
348,40,54,33.799,28.4667,10.2956,7.07107,27.1419,0.686803,0.620292,0.842235,0.740741,7.1365,0.44001,8,1.28695,5,0.625
349,9.5,9.5,12.2426,12.2426,5,2.82843,14.6667,0.565685,0.796495,1,1,3.4779,0.796495,3,1.66667,3.16667,1.05556
350,102,123.5,51.9411,43.5711,17.4642,9.84886,35.0773,0.563944,0.675169,0.838856,0.825911,11.3961,0.475103,13,1.3434,7.84615,0.60355
351,11.5,11.5,13.8995,13.8995,5.38516,2.82843,15.5128,0.525226,0.748014,1,1,3.82652,0.748014,4,1.34629,2.875,0.71875
352,3.5,3.5,9.41421,9.41421,4.12311,1,9.65603,0.242536,0.496261,1,1,2.111,0.496261,5,0.824621,0.7,0.14
353,42.5,59,40.0416,29.6251,11.6619,7.81025,26.5739,0.669723,0.608525,0.739858,0.720339,7.35613,0.333101,13,0.89707,3.26923,0.251479
354,15.5,16,16.2426,16.0645,6.32456,3.16228,18.0149,0.5,0.754757,0.989032,0.96875,4.44243,0.738292,5,1.26491,3.1,0.62
355,223,347,114.711,81.0967,35.8469,15,39.2606,0.418446,0.426097,0.706967,0.642651,16.8503,0.212964,34,1.05432,6.55882,0.192907
356,12,15,16.4853,14.8929,5.38516,4.12311,17.2365,0.765641,0.679878,0.903407,0.8,3.90882,0.554879,6,0.897527,2,0.333333
357,16,21.5,21.3137,19.0095,7.81025,4.47214,16.8056,0.572598,0.556404,0.891889,0.744186,4.51352,0.4426,6,1.30171,2.66667,0.444444
358,80,102.5,46.2843,38.946,14.5602,11.1803,36.4897,0.767869,0.662786,0.841453,0.780488,10.0925,0.469281,17,0.856484,4.70588,0.276817
359,10.5,12.5,15.0711,13.8863,5.09902,3.16228,16.2537,0.620174,0.684263,0.921391,0.84,3.65637,0.580913,5,1.0198,2.1,0.42
360,22.5,24,19.8995,19.4985,8.06226,4.47214,19.7149,0.5547,0.743689,0.979848,0.9375,5.35237,0.714017,6,1.34371,3.75,0.625
361,15,19,20.1421,17.8771,7.28011,4.12311,15.2923,0.566352,0.589806,0.887545,0.789474,4.37019,0.464612,7,1.04002,2.14286,0.306122
362,71.5,90,47.6985,36.1486,14.1421,9,32.4374,0.636396,0.687597,0.757855,0.794444,9.54131,0.394918,16,0.883883,4.46875,0.279297
363,44,52.5,32.6274,27.4071,10.198,7.07107,28.7623,0.693375,0.736099,0.840003,0.838095,7.48482,0.519394,8,1.27475,5.5,0.6875
364,164,180,55.4558,51.896,20.2237,12,49.2446,0.593362,0.765219,0.935808,0.911111,14.4503,0.67013,14,1.44455,11.7143,0.836735
365,135,147.5,50.6274,46.8956,18.2483,10.7703,45.3463,0.59021,0.771399,0.926289,0.915254,13.1106,0.661869,19,0.960436,7.10526,0.373961
366,48,57.5,31.4558,28.829,10.198,7.81025,30.152,0.765858,0.725756,0.916492,0.834783,7.81764,0.609605,11,0.927094,4.36364,0.396694
367,106,138.5,60.7696,49.3098,21.095,9.43398,32.7775,0.447214,0.547834,0.811423,0.765343,11.6174,0.360698,22,0.958865,4.81818,0.219008
368,16.5,19,19.0711,18,7.07107,5,18.4624,0.707107,0.639954,0.943838,0.868421,4.5835,0.57009,5,1.41421,3.3,0.66
369,28.5,30,21.0711,20.5366,7.2111,6.32456,26.3348,0.877058,0.849173,0.974636,0.95,6.0239,0.806643,0,inf,inf,inf
370,50,85,50.2843,37.7128,15.6205,8.94427,23.9443,0.572598,0.441775,0.749993,0.588235,7.97885,0.248494,15,1.04137,3.33333,0.222222
371,7,8,11.6569,10.8284,4.24264,2.82843,13.6563,0.666667,0.7502,0.928932,0.875,2.98541,0.647359,3,1.41421,2.33333,0.777778
372,194,229.5,66.4264,57.2584,21.095,15.5563,52.6199,0.737442,0.74359,0.861982,0.845316,15.7165,0.552497,20,1.05475,9.7,0.485
373,30.5,45,33.2132,25.9233,9.21954,6.40312,22.6068,0.694516,0.570332,0.780513,0.677778,6.23168,0.347447,5,1.84391,6.1,1.22
374,145.5,193.5,67.3553,55.7701,21.3776,11.7047,42.0827,0.547523,0.587855,0.827998,0.751938,13.6109,0.403022,26,0.822214,5.59615,0.215237
375,250.5,272,66.5269,60.4022,20.2485,17,72.4446,0.83957,0.862804,0.907936,0.920956,17.8591,0.711251,10,2.02485,25.05,2.505
376,6,16,22.4853,15.6569,5.38516,4,14.6524,0.742781,0.307576,0.696316,0.375,2.76395,0.14913,10,0.538516,0.6,0.06
377,8,8,10.8284,10.8284,3.60555,3,16.7391,0.83205,0.857372,1,1,3.19154,0.857372,0,inf,inf,inf
378,144.5,270.5,104.811,62.8566,23.0868,17.0294,42.5605,0.737625,0.459595,0.599713,0.534196,13.564,0.165296,24,0.96195,6.02083,0.250868
379,34,42,28.1421,25.1172,9.21954,6.7082,25.4803,0.727607,0.677245,0.892513,0.809524,6.57952,0.539479,9,1.02439,3.77778,0.419753
380,309,376,113.255,78.6388,32.1403,15.8114,60.2323,0.491949,0.627907,0.694352,0.821809,19.8351,0.30273,31,1.03678,9.96774,0.32154
381,18,19.5,17.3137,16.9127,6.32456,4.24264,19.8611,0.67082,0.790783,0.976838,0.923077,4.78731,0.754575,5,1.26491,3.6,0.72
382,56,59.5,30.1421,28.8438,10.8167,7.61577,32.8295,0.704078,0.845851,0.956925,0.941176,8.44402,0.774551,6,1.80278,9.33333,1.55556
383,1,2,7.65685,6.82843,2.82843,2,7.17062,0.707107,0.269506,0.891806,0.5,1.12838,0.214343,1,2.82843,1,1
384,17,17.5,15.6569,15.4787,5.38516,4,1.28084,0.742781,0.89164,0.988622,0.971429,4.65243,0.871465,2,2.69258,8.5,4.25
385,35,38,23.3137,22.3783,7.61577,6.7082,1.21852,0.88083,0.878265,0.959875,0.921053,6.67558,0.809199,0,inf,inf,inf
386,6,6.5,9.65685,9.47871,3.16228,2.82843,1.23697,0.894427,0.839195,0.981552,0.923077,2.76395,0.808518,2,1.58114,3,1.5
387,34.5,34.5,21.8995,21.8995,8.06226,5.65685,1.39376,0.701646,0.903984,1,1,6.62773,0.903984,2,4.03113,17.25,8.625
388,19.5,20,17.0711,16.8929,5.83095,5,1.30886,0.857493,0.858687,0.989564,0.975,4.98279,0.840859,3,1.94365,6.5,2.16667
389,12,12.5,13.6569,13.4787,5.09902,3,1.53765,0.588348,0.830031,0.986956,0.96,3.90882,0.808518,4,1.27475,3,0.75
390,10.5,10.5,12.2426,12.2426,4.47214,3.16228,1.38342,0.707107,0.880337,1,1,3.65637,0.880337,2,2.23607,5.25,2.625
391,264.5,288.5,66.5269,61.7692,20.8806,18.7883,1.24949,0.899796,0.871148,0.928484,0.916811,18.3513,0.751002,14,1.49147,18.8929,1.34949
392,25.5,28,20.7279,19.3651,6.7082,5.83095,1.28105,0.869227,0.854501,0.93425,0.910714,5.69804,0.745828,4,1.67705,6.375,1.59375
393,14.5,15,16.2426,16.0645,6.7082,3.60555,2.02894,0.537484,0.706063,0.989032,0.966667,4.29674,0.69066,6,1.11803,2.41667,0.402778
394,26,30,24.1421,23.4296,9.43398,5,2.26369,0.529999,0.595189,0.970484,0.866667,5.75363,0.560573,10,0.943398,2.6,0.26
395,31,35,23.3137,22.2448,8.06226,5.38516,1.49332,0.667947,0.787251,0.954153,0.885714,6.28255,0.716719,5,1.61245,6.2,1.24
396,11,12.5,13.6569,13.2268,4.47214,4,1.30657,0.894427,0.790123,0.968508,0.88,3.74241,0.741142,2,2.23607,5.5,2.75
397,14.5,14.5,15.0711,15.0711,5.38516,4.12311,1.4555,0.765641,0.802213,1,1,4.29674,0.802213,3,1.79505,4.83333,1.61111
398,7.5,7.5,10.2426,10.2426,3.60555,2.82843,1.28147,0.784465,0.898353,1,1,3.09019,0.898353,0,inf,inf,inf
399,69.5,77,38.0416,33.1776,13,8.06226,1.7454,0.620174,0.793422,0.87214,0.902597,9.40692,0.603499,9,1.44444,7.72222,0.858025
400,29,30.5,21.3137,20.7793,7.81025,5,1.56315,0.640184,0.844009,0.974925,0.95082,6.07651,0.802213,2,3.90512,14.5,7.25
401,134.5,195,73.0122,58.2009,25.0799,13.3417,3.20807,0.531967,0.498967,0.79714,0.689744,13.0863,0.31706,23,1.09043,5.84783,0.254253
402,7,7.5,10.8284,10.6503,4.24264,2.82843,1.66053,0.666667,0.775507,0.983548,0.933333,2.98541,0.7502,3,1.41421,2.33333,0.777778
403,29,31.5,21.3137,20.5273,7.28011,6.08276,1.38148,0.835532,0.864854,0.963105,0.920635,6.07651,0.802213,1,7.28011,29,29
404,3.5,3.5,8.24264,8.24264,3.60555,2,2.0824,0.5547,0.647359,1,1,2.111,0.647359,3,1.20185,1.16667,0.388889
405,13,13.5,13.6569,13.4787,4.47214,4,1.17591,0.894427,0.899201,0.986956,0.962963,4.06843,0.875895,0,inf,inf,inf
406,24,27.5,25.3137,23.6989,10.7703,4,2.93834,0.371391,0.536988,0.936208,0.872727,5.52791,0.470662,10,1.07703,2.4,0.24
407,5,6,10.8284,10.4721,4.12311,2,1.87398,0.485071,0.57294,0.967097,0.833333,2.52313,0.535857,4,1.03078,1.25,0.3125
408,27.5,31,22.7279,21.8783,8.24621,5.09902,1.73201,0.618347,0.721964,0.962617,0.887097,5.91727,0.668995,6,1.37437,4.58333,0.763889
409,15.5,16,15.0711,14.8929,5.38516,4.12311,1.39221,0.765641,0.878176,0.98818,0.96875,4.44243,0.857538,3,1.79505,5.16667,1.72222
410,10,10.5,12.8284,12.6503,5,3.16228,1.6632,0.632456,0.785253,0.986113,0.952381,3.56825,0.763595,3,1.66667,3.33333,1.11111
411,18.5,20,17.0711,16.5366,5.83095,5,1.2702,0.857493,0.850134,0.968693,0.925,4.85334,0.797738,2,2.91548,9.25,4.625
412,136,145.5,48.6274,46.8319,17.8885,10.8167,1.75772,0.604669,0.779228,0.963077,0.934708,13.159,0.722747,10,1.78885,13.6,1.36
413,23.5,28,21.8995,21.0262,8.24621,4.12311,1.93578,0.5,0.667972,0.96012,0.839286,5.47002,0.615757,6,1.37437,3.91667,0.652778
414,20.5,22,17.8995,17.4694,6.08276,5,1.31074,0.821995,0.844126,0.975972,0.931818,5.10895,0.804048,4,1.52069,5.125,1.28125
415,32,35.5,23.3137,22.7303,8.544,6.32456,1.61222,0.740233,0.778303,0.974977,0.901408,6.38308,0.739839,6,1.424,5.33333,0.888889
416,21,22.5,18.4853,17.9508,6.40312,5,1.41964,0.780869,0.818954,0.971089,0.933333,5.17088,0.772284,3,2.13437,7,2.33333
417,29.5,31.5,21.8995,21.1869,8.06226,5.83095,1.56798,0.723241,0.825841,0.967461,0.936508,6.12867,0.772972,4,2.01556,7.375,1.84375
418,6.5,7,10.2426,10.0645,3.60555,2.82843,1.38826,0.784465,0.806379,0.982607,0.928571,2.87681,0.778573,2,1.80278,3.25,1.625
419,22.5,22.5,18.2426,18.2426,6.40312,5,1.34515,0.780869,0.849605,1,1,5.35237,0.849605,0,inf,inf,inf
420,2,2.5,6.82843,6.65028,2.23607,2,1.3708,0.894427,0.568277,0.973911,0.8,1.59577,0.539012,4,0.559017,0.5,0.125
421,48.5,54,30.7279,29.0219,11.7047,6.08276,1.96454,0.519685,0.723602,0.94448,0.898148,7.85825,0.645484,7,1.6721,6.92857,0.989796
422,8,8,10.8284,10.8284,4.24264,2.82843,1.54192,0.666667,0.857372,1,1,3.19154,0.857372,0,inf,inf,inf
423,4,4,8,8,2.82843,2,1.27905,0.707107,0.785398,1,1,2.25676,0.785398,0,inf,inf,inf
424,9.5,9.5,12.2426,12.2426,4.47214,3,1.46989,0.67082,0.796495,1,1,3.4779,0.796495,0,inf,inf,inf
425,9.5,12.5,15.0711,13.2268,4.47214,4,1.46989,0.894427,0.682379,0.877627,0.76,3.4779,0.525588,1,4.47214,9.5,9.5
426,13.5,13.5,15.0711,15.0711,6.40312,3.16228,2.04975,0.493865,0.746888,1,1,4.14593,0.746888,4,1.60078,3.375,0.84375
427,52.5,58.5,30.3848,28.8642,11.1803,7.61577,1.74598,0.681175,0.791862,0.949957,0.897436,8.17588,0.71459,9,1.24226,5.83333,0.648148
428,31,37.5,26.1421,24.848,10,5.83095,2.21007,0.583095,0.630941,0.950496,0.826667,6.28255,0.570019,8,1.25,3.875,0.484375
429,100.5,125,59.5563,55.2997,25.02,12.083,4.04753,0.482936,0.412981,0.928528,0.804,11.312,0.356057,25,1.0008,4.02,0.1608
430,112,234,101.255,80.2231,37.5899,17.2047,7.2778,0.457694,0.21869,0.792289,0.478632,11.9416,0.137277,38,0.989208,2.94737,0.0775623
431,29,39,29.3137,27.4376,12.083,4.12311,3.0366,0.341231,0.484078,0.935999,0.74359,6.07651,0.424098,10,1.2083,2.9,0.29
432,83.5,116,55.3553,48.3832,21.2603,8.60233,3.48771,0.404619,0.448236,0.874048,0.719828,10.3109,0.342434,22,0.966377,3.79545,0.172521
433,120,141.5,54.7696,46.2788,17.4642,10.198,1.85888,0.583938,0.704087,0.844974,0.848057,12.3608,0.502704,17,1.02731,7.05882,0.415225
434,102.5,123,48.0416,40.7473,13.6015,11.7047,1.33901,0.860547,0.775774,0.848167,0.833333,11.424,0.558082,13,1.04627,7.88462,0.606509
435,19.5,23,19.8995,18.528,7.2111,5,1.79497,0.693375,0.713816,0.93108,0.847826,4.98279,0.618814,5,1.44222,3.9,0.78
436,76.5,81,34.7279,33.282,11.6619,9,1.32628,0.771744,0.867867,0.958363,0.944444,9.86929,0.797102,3,3.8873,25.5,8.5
437,71,96.5,57.1127,51.2538,23.7697,9.89949,5.0783,0.416475,0.339637,0.897416,0.735751,9.50789,0.273529,23,1.03347,3.08696,0.134216
438,1363.5,2649,400.86,213.06,91,50.2494,4.34551,0.552191,0.37745,0.531508,0.514723,41.6661,0.10663,96,0.947917,14.2031,0.147949
439,15,18,17.3137,16.129,6.08276,4.12311,1.71304,0.677834,0.724581,0.931573,0.833333,4.37019,0.628812,6,1.01379,2.5,0.416667
440,64.5,117,72.669,56.5401,26.4008,9,6.094,0.340899,0.253546,0.778049,0.551282,9.06223,0.153487,25,1.05603,2.58,0.1032
441,469.5,533,104.811,95.4546,38.6005,18.9737,2.3895,0.491539,0.647518,0.910729,0.880863,24.4497,0.537069,12,3.21671,39.125,3.26042
442,37.5,40,24.7279,23.9706,8.94427,5.83095,1.531,0.65192,0.820131,0.969374,0.9375,6.90988,0.770665,6,1.49071,6.25,1.04167
443,50.5,56.5,31.5563,30.0962,12.53,6.32456,2.22792,0.504754,0.700611,0.95373,0.893805,8.01864,0.637276,1,12.53,50.5,50.5
444,37.5,41,32.0416,31.0324,14.1421,4.12311,3.40602,0.291548,0.48934,0.968502,0.914634,6.90988,0.458999,13,1.08786,2.88462,0.221893
445,63,70,33.799,31.6702,12.1655,8,1.72892,0.657596,0.789312,0.937016,0.9,8.95623,0.693016,6,2.02759,10.5,1.75
446,25.5,32,27.5563,25.9497,11.6619,4.24264,3.2459,0.363803,0.475868,0.941695,0.796875,5.69804,0.421994,10,1.16619,2.55,0.255
447,38.5,47.5,36.3848,33.4026,15.6525,5,3.86044,0.319438,0.433621,0.918038,0.810526,7.00141,0.365453,14,1.11803,2.75,0.196429
448,8,12.5,16.4853,13.9907,5.65685,3.60555,2.17524,0.637377,0.513595,0.848679,0.64,3.19154,0.369919,4,1.41421,2,0.5
449,116,178,66.7696,54.6287,22.2036,11.1803,34.9506,0.503537,0.488457,0.818167,0.651685,12.153,0.326972,21,1.05731,5.52381,0.263039
450,67,130,74.0833,51.5051,22.3607,8.06226,22.5573,0.360555,0.317383,0.695233,0.515385,9.23618,0.153407,20,1.11803,3.35,0.1675
451,13.5,26,30.3848,25.5709,12.083,3.60555,11.7525,0.298398,0.259448,0.84157,0.519231,4.14593,0.183752,12,1.00692,1.125,0.09375
452,109.5,134,55.3553,43.3123,15.8114,11.0454,43.6871,0.69857,0.733503,0.782441,0.817164,11.8076,0.449061,17,0.930082,6.44118,0.378893
453,37,43.5,28.4853,27.1199,10.4403,5,24.764,0.478913,0.632173,0.952066,0.850575,6.86366,0.573021,10,1.04403,3.7,0.37
454,67.5,91.5,48.8701,36.2374,13.4536,9.84886,33.8654,0.73206,0.645951,0.741505,0.737705,9.27058,0.355163,12,1.12114,5.625,0.46875
455,371.5,467.5,99.1543,82.1984,30.4138,21.6333,72.1754,0.711299,0.690942,0.828995,0.794652,21.7488,0.474838,30,1.01379,12.3833,0.412778
456,2.5,3,7.41421,7.23607,2.82843,2,10.0379,0.707107,0.599991,0.975972,0.833333,1.78412,0.571505,2,1.41421,1.25,0.625
457,44,48.5,26.9706,25.7384,9.48683,7.07107,29.7715,0.745356,0.834638,0.954316,0.907216,7.48482,0.760121,6,1.58114,7.33333,1.22222
458,24.5,27,20.7279,19.7213,7.61577,5,22.1183,0.656532,0.791594,0.951439,0.907407,5.58519,0.71658,6,1.2693,4.08333,0.680556
459,103.5,199.5,68.1838,57.0764,22.2036,13.4536,31.4905,0.605921,0.399243,0.837097,0.518797,11.4796,0.279762,24,0.92515,4.3125,0.179688
460,115,189,84.4264,68.1828,30.5941,7.81025,26.9204,0.255286,0.310855,0.807601,0.608466,12.1005,0.202745,31,0.986907,3.70968,0.119667
461,38,47,29.799,25.5767,9.43398,6.7082,27.162,0.711068,0.729972,0.858306,0.808511,6.9558,0.537762,7,1.34771,5.42857,0.77551
462,451.5,699.5,155.095,99.1876,33.6006,30.4795,82.5729,0.907112,0.576704,0.639526,0.645461,23.9764,0.235868,46,0.730448,9.81522,0.213374
463,842.5,1318,212.551,136.268,48.2701,38.6264,102.59,0.800215,0.570157,0.641104,0.639226,32.7522,0.234343,58,0.832243,14.5259,0.250446
464,7861,12524.5,1183.39,420.439,153.219,106.607,289.671,0.695781,0.558833,0.355283,0.62765,100.045,0.0705393,181,0.846513,43.4309,0.23995
465,551.5,994.5,216.208,126.479,46.6476,32.0624,72.6048,0.687333,0.43323,0.584987,0.55455,26.4989,0.148256,59,0.790638,9.34746,0.158431
466,63,74,35.799,33.7768,13.3417,9.21954,30.4821,0.691034,0.693925,0.943514,0.851351,8.95623,0.617744,13,1.02628,4.84615,0.372781
467,260.5,288,71.6985,66.0008,25.4951,14.8661,61.6363,0.583095,0.751483,0.920533,0.904514,18.2121,0.636792,20,1.27475,13.025,0.65125
468,10,10,11.6569,11.6569,4.12311,3,17.1631,0.727607,0.924799,1,1,3.56825,0.924799,2,2.06155,5,2.5
469,35,41,26.9706,24.2978,9.21954,6.08276,24.9373,0.659768,0.744976,0.900902,0.853659,6.67558,0.604641,1,9.21954,35,35
470,142.5,178,59.6985,50.5327,18.7883,12.8062,47.0372,0.681608,0.701261,0.846465,0.800562,13.4698,0.502456,16,1.17427,8.90625,0.556641
471,286.5,377,93.0122,76.4971,29.2746,19.7231,60.7593,0.673728,0.615241,0.822441,0.759947,19.0993,0.416155,28,1.04552,10.2321,0.365434
472,269.5,345,87.4975,71.143,26.6833,17.0294,61.4206,0.638203,0.669121,0.813086,0.781159,18.524,0.442362,26,1.02628,10.3654,0.398669
473,6896,11624,978.029,412.476,159.239,104.484,237.848,0.656149,0.509343,0.421742,0.593255,93.703,0.090595,195,0.816609,35.3641,0.181354
474,56,73,37.799,33.6653,12.8062,7.81025,29.0949,0.609878,0.620914,0.890641,0.767123,8.44402,0.492535,13,0.985096,4.30769,0.331361
475,94,121,55.1127,49.6678,21.095,10,28.9659,0.474045,0.478837,0.901205,0.77686,10.94,0.388897,20,1.05475,4.7,0.235
476,120.5,138,50.0416,46.4806,18.868,10.198,39.8324,0.540495,0.700897,0.928838,0.873188,12.3865,0.604692,12,1.57233,10.0417,0.836806
477,171,290,92.0833,72.2172,28.6356,16,39.1405,0.558744,0.412026,0.78426,0.589655,14.7555,0.253422,29,0.987436,5.89655,0.203329
478,221,285,78.4264,65.2129,25.4951,15.6205,53.2721,0.612686,0.653033,0.831517,0.775439,16.7746,0.451521,23,1.10848,9.6087,0.417769
479,1195.5,1527,204.551,146.131,53.3667,40.1123,129.788,0.751637,0.70352,0.714396,0.782908,39.0148,0.35905,51,1.04641,23.4412,0.459631
480,333.5,464.5,112.468,83.5903,29.1204,24.0832,69.8503,0.82702,0.599783,0.743236,0.717976,20.6064,0.33132,33,0.882438,10.1061,0.306244
481,414.5,504.5,117.296,85.5813,30.5287,24.0416,81.4423,0.78751,0.711176,0.729615,0.821606,22.973,0.378586,32,0.954021,12.9531,0.404785
482,2656.5,5130,629.879,279.505,104.785,72.4017,137.86,0.690951,0.427309,0.443743,0.517836,58.1581,0.0841405,114,0.919171,23.3026,0.204409
483,22.5,23,17.8995,17.7213,6.32456,5,23.6818,0.790569,0.900324,0.990047,0.978261,5.35237,0.882492,3,2.10819,7.5,2.5
484,1118,1475,224.108,148.565,59.2115,39.3192,110.779,0.664047,0.636528,0.662919,0.757966,37.7291,0.27973,66,0.897144,16.9394,0.256657
485,81,107.5,44.6274,39.6803,14.5602,11.6619,36.6783,0.800943,0.646464,0.889147,0.753488,10.1554,0.511083,13,1.12002,6.23077,0.47929
486,206.5,234,64.5269,57.3597,21.6333,13.8924,57.502,0.642178,0.788707,0.888927,0.882479,16.2149,0.62323,20,1.08167,10.325,0.51625
487,1856,2347.5,256.25,192.388,65.215,56.0803,163.07,0.859929,0.63013,0.750785,0.790628,48.6121,0.35519,69,0.945145,26.8986,0.389834
488,223,239.5,61.1127,57.1495,21.1896,14.5602,62.8115,0.687139,0.858004,0.93515,0.931106,16.8503,0.750329,14,1.51354,15.9286,1.13776
489,146.5,179,60.0416,52.8435,21.4709,13.1529,42.8959,0.612594,0.659273,0.880114,0.818436,13.6576,0.510673,20,1.07355,7.325,0.36625
490,199,241,67.598,59.2649,20.8806,17.0294,57.5109,0.81556,0.711979,0.876726,0.825726,15.9177,0.547262,17,1.22827,11.7059,0.688581
491,26,35,26.9706,23.0908,8.544,5.65685,21.979,0.662085,0.612779,0.856149,0.742857,5.75363,0.449162,10,0.8544,2.6,0.26
492,33.5,38.5,25.8995,24.5645,9.21954,6.32456,25.5321,0.685994,0.697651,0.948456,0.87013,6.53097,0.627584,8,1.15244,4.1875,0.523438
493,66,69.5,32.1421,31.3969,12.0416,8.06226,34.1743,0.669534,0.841359,0.976813,0.94964,9.167,0.802794,7,1.72023,9.42857,1.34694
494,33.5,35.5,24.7279,23.5432,9.89949,5,23.4303,0.505076,0.759493,0.95209,0.943662,6.53097,0.688461,6,1.64992,5.58333,0.930556
495,1021,1280,218.108,165.559,69.3542,24.6982,85.6443,0.356117,0.468091,0.75907,0.797656,36.0552,0.269708,66,1.05082,15.4697,0.234389
496,46.5,70,44.0416,39.6607,18.3848,6.7082,19.0688,0.364878,0.371486,0.900527,0.664286,7.69452,0.301256,16,1.14905,2.90625,0.181641
