Particle_no,Perimeter,Convex_Perimeter,Area,Convex area,Solidity,Convexity,Equi_diameter,Circularity,Compactness,Min_Feret,Max_Feret,Aspect_ratio,Feret_aspect_ratio,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
331,65.0122,53.0708,168.5,201,0.838308,0.816321,14.6472,0.751794,0.50098,15.6205,19,54.7435,0.822132,20,0.95,8.425,0.42125
332,28.4853,27.3099,43,48,0.895833,0.958738,7.39928,0.724498,0.665943,6.08276,10.7703,27.0266,0.56477,6,1.79505,7.16667,1.19444
333,19.3137,17.6989,17,21.5,0.790698,0.916391,4.65243,0.681971,0.5727,5,6.40312,19.3243,0.780869,8,0.800391,2.125,0.265625
334,8.24264,7.81256,1.5,3,0.5,0.947822,1.38198,0.308826,0.27744,1.41421,3.16228,7.92576,0.447214,4,0.790569,0.375,0.09375
335,17.0711,16.4628,16.5,18.5,0.891892,0.964371,4.5835,0.76504,0.711496,4,6,19.6442,0.666667,7,0.857143,2.35714,0.336735
336,12.8284,12.6503,10,10.5,0.952381,0.986113,3.56825,0.785253,0.763595,3.16228,4.47214,17.0864,0.707107,3,1.49071,3.33333,1.11111
337,23.8995,23.1131,35.5,38,0.934211,0.967097,6.72309,0.835066,0.781018,6.08276,8.94427,26.4275,0.680074,5,1.78885,7.1,1.42
338,35.5563,33.5184,67.5,78,0.865385,0.942685,9.27058,0.754998,0.670933,8.544,12.3693,34.8082,0.690742,10,1.23693,6.75,0.675
339,22.4853,21.6989,31,33.5,0.925373,0.965027,6.28255,0.827362,0.770504,6.08276,7.61577,27.3226,0.798706,4,1.90394,7.75,1.9375
340,26.1421,21.5066,23,32,0.71875,0.822679,5.41152,0.624877,0.422917,5.83095,7.81025,21.8309,0.746577,9,0.867806,2.55556,0.283951
341,32.7279,29.9508,49.5,55.5,0.891892,0.915147,7.93885,0.693421,0.580735,6.08276,12.53,26.7524,0.485457,10,1.253,4.95,0.495
342,12.8284,12.8284,5,5,1,1,2.52313,0.381797,0.381797,1.41421,6,9.42857,0.235702,7,0.857143,0.714286,0.102041
343,9.65685,9.47871,4,4.5,0.888889,0.981552,2.25676,0.559463,0.539012,1.41421,4.24264,9.45486,0.333333,4,1.06066,1,0.25
344,66.5269,51.7618,148.5,180.5,0.822715,0.778058,13.7505,0.696494,0.42164,12,19.6977,45.4284,0.609208,18,1.09432,8.25,0.458333
345,16.4853,15.6251,13,16,0.8125,0.947822,4.06843,0.669124,0.601119,4.12311,5.83095,16.8963,0.707107,6,0.971825,2.16667,0.361111
346,21.6569,19.6344,8,12.5,0.64,0.906614,3.19154,0.260774,0.214343,4.47214,9.05539,10.3942,0.493865,10,0.905539,0.8,0.08
347,120.953,106.282,646.5,717,0.901674,0.878704,28.6906,0.719213,0.555319,23.7697,42.0595,89.416,0.565146,40,1.05149,16.1625,0.404063
348,33.799,28.4667,40,54,0.740741,0.842235,7.1365,0.620292,0.44001,7.07107,10.2956,27.1419,0.686803,8,1.28695,5,0.625
349,12.2426,12.2426,9.5,9.5,1,1,3.4779,0.796495,0.796495,2.82843,5,14.6667,0.565685,3,1.66667,3.16667,1.05556
350,51.9411,43.5711,102,123.5,0.825911,0.838856,11.3961,0.675169,0.475103,9.84886,17.4642,35.0773,0.563944,13,1.3434,7.84615,0.60355
351,13.8995,13.8995,11.5,11.5,1,1,3.82652,0.748014,0.748014,2.82843,5.38516,15.5128,0.525226,4,1.34629,2.875,0.71875
352,9.41421,9.41421,3.5,3.5,1,1,2.111,0.496261,0.496261,1,4.12311,9.65603,0.242536,5,0.824621,0.7,0.14
353,40.0416,29.6251,42.5,59,0.720339,0.739858,7.35613,0.608525,0.333101,7.81025,11.6619,26.5739,0.669723,13,0.89707,3.26923,0.251479
354,16.2426,16.0645,15.5,16,0.96875,0.989032,4.44243,0.754757,0.738292,3.16228,6.32456,18.0149,0.5,5,1.26491,3.1,0.62
355,114.711,81.0967,223,347,0.642651,0.706967,16.8503,0.426097,0.212964,15,35.8469,39.2606,0.418446,34,1.05432,6.55882,0.192907
356,16.4853,14.8929,12,15,0.8,0.903407,3.90882,0.679878,0.554879,4.12311,5.38516,17.2365,0.765641,6,0.897527,2,0.333333
357,21.3137,19.0095,16,21.5,0.744186,0.891889,4.51352,0.556404,0.4426,4.47214,7.81025,16.8056,0.572598,6,1.30171,2.66667,0.444444
358,46.2843,38.946,80,102.5,0.780488,0.841453,10.0925,0.662786,0.469281,11.1803,14.5602,36.4897,0.767869,17,0.856484,4.70588,0.276817
359,15.0711,13.8863,10.5,12.5,0.84,0.921391,3.65637,0.684263,0.580913,3.16228,5.09902,16.2537,0.620174,5,1.0198,2.1,0.42
360,19.8995,19.4985,22.5,24,0.9375,0.979848,5.35237,0.743689,0.714017,4.47214,8.06226,19.7149,0.5547,6,1.34371,3.75,0.625
361,20.1421,17.8771,15,19,0.789474,0.887545,4.37019,0.589806,0.464612,4.12311,7.28011,15.2923,0.566352,7,1.04002,2.14286,0.306122
362,47.6985,36.1486,71.5,90,0.794444,0.757855,9.54131,0.687597,0.394918,9,14.1421,32.4374,0.636396,16,0.883883,4.46875,0.279297
363,32.6274,27.4071,44,52.5,0.838095,0.840003,7.48482,0.736099,0.519394,7.07107,10.198,28.7623,0.693375,8,1.27475,5.5,0.6875
364,55.4558,51.896,164,180,0.911111,0.935808,14.4503,0.765219,0.67013,12,20.2237,49.2446,0.593362,14,1.44455,11.7143,0.836735
365,50.6274,46.8956,135,147.5,0.915254,0.926289,13.1106,0.771399,0.661869,10.7703,18.2483,45.3463,0.59021,19,0.960436,7.10526,0.373961
366,31.4558,28.829,48,57.5,0.834783,0.916492,7.81764,0.725756,0.609605,7.81025,10.198,30.152,0.765858,11,0.927094,4.36364,0.396694
367,60.7696,49.3098,106,138.5,0.765343,0.811423,11.6174,0.547834,0.360698,9.43398,21.095,32.7775,0.447214,22,0.958865,4.81818,0.219008
368,19.0711,18,16.5,19,0.868421,0.943838,4.5835,0.639954,0.57009,5,7.07107,18.4624,0.707107,5,1.41421,3.3,0.66
369,21.0711,20.5366,28.5,30,0.95,0.974636,6.0239,0.849173,0.806643,6.32456,7.2111,26.3348,0.877058,0,inf,inf,inf
370,50.2843,37.7128,50,85,0.588235,0.749993,7.97885,0.441775,0.248494,8.94427,15.6205,23.9443,0.572598,15,1.04137,3.33333,0.222222
371,11.6569,10.8284,7,8,0.875,0.928932,2.98541,0.7502,0.647359,2.82843,4.24264,13.6563,0.666667,3,1.41421,2.33333,0.777778
372,66.4264,57.2584,194,229.5,0.845316,0.861982,15.7165,0.74359,0.552497,15.5563,21.095,52.6199,0.737442,20,1.05475,9.7,0.485
373,33.2132,25.9233,30.5,45,0.677778,0.780513,6.23168,0.570332,0.347447,6.40312,9.21954,22.6068,0.694516,5,1.84391,6.1,1.22
374,67.3553,55.7701,145.5,193.5,0.751938,0.827998,13.6109,0.587855,0.403022,11.7047,21.3776,42.0827,0.547523,26,0.822214,5.59615,0.215237
375,66.5269,60.4022,250.5,272,0.920956,0.907936,17.8591,0.862804,0.711251,17,20.2485,72.4446,0.83957,10,2.02485,25.05,2.505
376,22.4853,15.6569,6,16,0.375,0.696316,2.76395,0.307576,0.14913,4,5.38516,14.6524,0.742781,10,0.538516,0.6,0.06
377,10.8284,10.8284,8,8,1,1,3.19154,0.857372,0.857372,3,3.60555,16.7391,0.83205,0,inf,inf,inf
378,104.811,62.8566,144.5,270.5,0.534196,0.599713,13.564,0.459595,0.165296,17.0294,23.0868,42.5605,0.737625,24,0.96195,6.02083,0.250868
379,28.1421,25.1172,34,42,0.809524,0.892513,6.57952,0.677245,0.539479,6.7082,9.21954,25.4803,0.727607,9,1.02439,3.77778,0.419753
380,113.255,78.6388,309,376,0.821809,0.694352,19.8351,0.627907,0.30273,15.8114,32.1403,60.2323,0.491949,31,1.03678,9.96774,0.32154
381,17.3137,16.9127,18,19.5,0.923077,0.976838,4.78731,0.790783,0.754575,4.24264,6.32456,19.8611,0.67082,5,1.26491,3.6,0.72
382,30.1421,28.8438,56,59.5,0.941176,0.956925,8.44402,0.845851,0.774551,7.61577,10.8167,32.8295,0.704078,6,1.80278,9.33333,1.55556
383,7.65685,6.82843,1,2,0.5,0.891806,1.12838,0.269506,0.214343,2,2.82843,7.17062,0.707107,1,2.82843,1,1
384,15.6569,15.4787,17,17.5,0.971429,0.988622,4.65243,0.89164,0.871465,4,5.38516,1.28084,0.742781,2,2.69258,8.5,4.25
385,23.3137,22.3783,35,38,0.921053,0.959875,6.67558,0.878265,0.809199,6.7082,7.61577,1.21852,0.88083,0,inf,inf,inf
386,9.65685,9.47871,6,6.5,0.923077,0.981552,2.76395,0.839195,0.808518,2.82843,3.16228,1.23697,0.894427,2,1.58114,3,1.5
387,21.8995,21.8995,34.5,34.5,1,1,6.62773,0.903984,0.903984,5.65685,8.06226,1.39376,0.701646,2,4.03113,17.25,8.625
388,17.0711,16.8929,19.5,20,0.975,0.989564,4.98279,0.858687,0.840859,5,5.83095,1.30886,0.857493,3,1.94365,6.5,2.16667
389,13.6569,13.4787,12,12.5,0.96,0.986956,3.90882,0.830031,0.808518,3,5.09902,1.53765,0.588348,4,1.27475,3,0.75
390,12.2426,12.2426,10.5,10.5,1,1,3.65637,0.880337,0.880337,3.16228,4.47214,1.38342,0.707107,2,2.23607,5.25,2.625
391,66.5269,61.7692,264.5,288.5,0.916811,0.928484,18.3513,0.871148,0.751002,18.7883,20.8806,1.24949,0.899796,14,1.49147,18.8929,1.34949
392,20.7279,19.3651,25.5,28,0.910714,0.93425,5.69804,0.854501,0.745828,5.83095,6.7082,1.28105,0.869227,4,1.67705,6.375,1.59375
393,16.2426,16.0645,14.5,15,0.966667,0.989032,4.29674,0.706063,0.69066,3.60555,6.7082,2.02894,0.537484,6,1.11803,2.41667,0.402778
394,24.1421,23.4296,26,30,0.866667,0.970484,5.75363,0.595189,0.560573,5,9.43398,2.26369,0.529999,10,0.943398,2.6,0.26
395,23.3137,22.2448,31,35,0.885714,0.954153,6.28255,0.787251,0.716719,5.38516,8.06226,1.49332,0.667947,5,1.61245,6.2,1.24
396,13.6569,13.2268,11,12.5,0.88,0.968508,3.74241,0.790123,0.741142,4,4.47214,1.30657,0.894427,2,2.23607,5.5,2.75
397,15.0711,15.0711,14.5,14.5,1,1,4.29674,0.802213,0.802213,4.12311,5.38516,1.4555,0.765641,3,1.79505,4.83333,1.61111
398,10.2426,10.2426,7.5,7.5,1,1,3.09019,0.898353,0.898353,2.82843,3.60555,1.28147,0.784465,0,inf,inf,inf
399,38.0416,33.1776,69.5,77,0.902597,0.87214,9.40692,0.793422,0.603499,8.06226,13,1.7454,0.620174,9,1.44444,7.72222,0.858025
400,21.3137,20.7793,29,30.5,0.95082,0.974925,6.07651,0.844009,0.802213,5,7.81025,1.56315,0.640184,2,3.90512,14.5,7.25
401,73.0122,58.2009,134.5,195,0.689744,0.79714,13.0863,0.498967,0.31706,13.3417,25.0799,3.20807,0.531967,23,1.09043,5.84783,0.254253
402,10.8284,10.6503,7,7.5,0.933333,0.983548,2.98541,0.775507,0.7502,2.82843,4.24264,1.66053,0.666667,3,1.41421,2.33333,0.777778
403,21.3137,20.5273,29,31.5,0.920635,0.963105,6.07651,0.864854,0.802213,6.08276,7.28011,1.38148,0.835532,1,7.28011,29,29
404,8.24264,8.24264,3.5,3.5,1,1,2.111,0.647359,0.647359,2,3.60555,2.0824,0.5547,3,1.20185,1.16667,0.388889
405,13.6569,13.4787,13,13.5,0.962963,0.986956,4.06843,0.899201,0.875895,4,4.47214,1.17591,0.894427,0,inf,inf,inf
406,25.3137,23.6989,24,27.5,0.872727,0.936208,5.52791,0.536988,0.470662,4,10.7703,2.93834,0.371391,10,1.07703,2.4,0.24
407,10.8284,10.4721,5,6,0.833333,0.967097,2.52313,0.57294,0.535857,2,4.12311,1.87398,0.485071,4,1.03078,1.25,0.3125
408,22.7279,21.8783,27.5,31,0.887097,0.962617,5.91727,0.721964,0.668995,5.09902,8.24621,1.73201,0.618347,6,1.37437,4.58333,0.763889
409,15.0711,14.8929,15.5,16,0.96875,0.98818,4.44243,0.878176,0.857538,4.12311,5.38516,1.39221,0.765641,3,1.79505,5.16667,1.72222
410,12.8284,12.6503,10,10.5,0.952381,0.986113,3.56825,0.785253,0.763595,3.16228,5,1.6632,0.632456,3,1.66667,3.33333,1.11111
411,17.0711,16.5366,18.5,20,0.925,0.968693,4.85334,0.850134,0.797738,5,5.83095,1.2702,0.857493,2,2.91548,9.25,4.625
412,48.6274,46.8319,136,145.5,0.934708,0.963077,13.159,0.779228,0.722747,10.8167,17.8885,1.75772,0.604669,10,1.78885,13.6,1.36
413,21.8995,21.0262,23.5,28,0.839286,0.96012,5.47002,0.667972,0.615757,4.12311,8.24621,1.93578,0.5,6,1.37437,3.91667,0.652778
414,17.8995,17.4694,20.5,22,0.931818,0.975972,5.10895,0.844126,0.804048,5,6.08276,1.31074,0.821995,4,1.52069,5.125,1.28125
415,23.3137,22.7303,32,35.5,0.901408,0.974977,6.38308,0.778303,0.739839,6.32456,8.544,1.61222,0.740233,6,1.424,5.33333,0.888889
416,18.4853,17.9508,21,22.5,0.933333,0.971089,5.17088,0.818954,0.772284,5,6.40312,1.41964,0.780869,3,2.13437,7,2.33333
417,21.8995,21.1869,29.5,31.5,0.936508,0.967461,6.12867,0.825841,0.772972,5.83095,8.06226,1.56798,0.723241,4,2.01556,7.375,1.84375
418,10.2426,10.0645,6.5,7,0.928571,0.982607,2.87681,0.806379,0.778573,2.82843,3.60555,1.38826,0.784465,2,1.80278,3.25,1.625
419,18.2426,18.2426,22.5,22.5,1,1,5.35237,0.849605,0.849605,5,6.40312,1.34515,0.780869,0,inf,inf,inf
420,6.82843,6.65028,2,2.5,0.8,0.973911,1.59577,0.568277,0.539012,2,2.23607,1.3708,0.894427,4,0.559017,0.5,0.125
421,30.7279,29.0219,48.5,54,0.898148,0.94448,7.85825,0.723602,0.645484,6.08276,11.7047,1.96454,0.519685,7,1.6721,6.92857,0.989796
422,10.8284,10.8284,8,8,1,1,3.19154,0.857372,0.857372,2.82843,4.24264,1.54192,0.666667,0,inf,inf,inf
423,8,8,4,4,1,1,2.25676,0.785398,0.785398,2,2.82843,1.27905,0.707107,0,inf,inf,inf
424,12.2426,12.2426,9.5,9.5,1,1,3.4779,0.796495,0.796495,3,4.47214,1.46989,0.67082,0,inf,inf,inf
425,15.0711,13.2268,9.5,12.5,0.76,0.877627,3.4779,0.682379,0.525588,4,4.47214,1.46989,0.894427,1,4.47214,9.5,9.5
426,15.0711,15.0711,13.5,13.5,1,1,4.14593,0.746888,0.746888,3.16228,6.40312,2.04975,0.493865,4,1.60078,3.375,0.84375
427,30.3848,28.8642,52.5,58.5,0.897436,0.949957,8.17588,0.791862,0.71459,7.61577,11.1803,1.74598,0.681175,9,1.24226,5.83333,0.648148
428,26.1421,24.848,31,37.5,0.826667,0.950496,6.28255,0.630941,0.570019,5.83095,10,2.21007,0.583095,8,1.25,3.875,0.484375
429,59.5563,55.2997,100.5,125,0.804,0.928528,11.312,0.412981,0.356057,12.083,25.02,4.04753,0.482936,25,1.0008,4.02,0.1608
430,101.255,80.2231,112,234,0.478632,0.792289,11.9416,0.21869,0.137277,17.2047,37.5899,7.2778,0.457694,38,0.989208,2.94737,0.0775623
431,29.3137,27.4376,29,39,0.74359,0.935999,6.07651,0.484078,0.424098,4.12311,12.083,3.0366,0.341231,10,1.2083,2.9,0.29
432,55.3553,48.3832,83.5,116,0.719828,0.874048,10.3109,0.448236,0.342434,8.60233,21.2603,3.48771,0.404619,22,0.966377,3.79545,0.172521
433,54.7696,46.2788,120,141.5,0.848057,0.844974,12.3608,0.704087,0.502704,10.198,17.4642,1.85888,0.583938,17,1.02731,7.05882,0.415225
434,48.0416,40.7473,102.5,123,0.833333,0.848167,11.424,0.775774,0.558082,11.7047,13.6015,1.33901,0.860547,13,1.04627,7.88462,0.606509
435,19.8995,18.528,19.5,23,0.847826,0.93108,4.98279,0.713816,0.618814,5,7.2111,1.79497,0.693375,5,1.44222,3.9,0.78
436,34.7279,33.282,76.5,81,0.944444,0.958363,9.86929,0.867867,0.797102,9,11.6619,1.32628,0.771744,3,3.8873,25.5,8.5
437,57.1127,51.2538,71,96.5,0.735751,0.897416,9.50789,0.339637,0.273529,9.89949,23.7697,5.0783,0.416475,23,1.03347,3.08696,0.134216
438,400.86,213.06,1363.5,2649,0.514723,0.531508,41.6661,0.37745,0.10663,50.2494,91,4.34551,0.552191,96,0.947917,14.2031,0.147949
439,17.3137,16.129,15,18,0.833333,0.931573,4.37019,0.724581,0.628812,4.12311,6.08276,1.71304,0.677834,6,1.01379,2.5,0.416667
440,72.669,56.5401,64.5,117,0.551282,0.778049,9.06223,0.253546,0.153487,9,26.4008,6.094,0.340899,25,1.05603,2.58,0.1032
441,104.811,95.4546,469.5,533,0.880863,0.910729,24.4497,0.647518,0.537069,18.9737,38.6005,2.3895,0.491539,12,3.21671,39.125,3.26042
442,24.7279,23.9706,37.5,40,0.9375,0.969374,6.90988,0.820131,0.770665,5.83095,8.94427,1.531,0.65192,6,1.49071,6.25,1.04167
443,31.5563,30.0962,50.5,56.5,0.893805,0.95373,8.01864,0.700611,0.637276,6.32456,12.53,2.22792,0.504754,1,12.53,50.5,50.5
444,32.0416,31.0324,37.5,41,0.914634,0.968502,6.90988,0.48934,0.458999,4.12311,14.1421,3.40602,0.291548,13,1.08786,2.88462,0.221893
445,33.799,31.6702,63,70,0.9,0.937016,8.95623,0.789312,0.693016,8,12.1655,1.72892,0.657596,6,2.02759,10.5,1.75
446,27.5563,25.9497,25.5,32,0.796875,0.941695,5.69804,0.475868,0.421994,4.24264,11.6619,3.2459,0.363803,10,1.16619,2.55,0.255
447,36.3848,33.4026,38.5,47.5,0.810526,0.918038,7.00141,0.433621,0.365453,5,15.6525,3.86044,0.319438,14,1.11803,2.75,0.196429
448,16.4853,13.9907,8,12.5,0.64,0.848679,3.19154,0.513595,0.369919,3.60555,5.65685,2.17524,0.637377,4,1.41421,2,0.5
449,66.7696,54.6287,116,178,0.651685,0.818167,12.153,0.488457,0.326972,11.1803,22.2036,34.9506,0.503537,21,1.05731,5.52381,0.263039
450,74.0833,51.5051,67,130,0.515385,0.695233,9.23618,0.317383,0.153407,8.06226,22.3607,22.5573,0.360555,20,1.11803,3.35,0.1675
451,30.3848,25.5709,13.5,26,0.519231,0.84157,4.14593,0.259448,0.183752,3.60555,12.083,11.7525,0.298398,12,1.00692,1.125,0.09375
452,55.3553,43.3123,109.5,134,0.817164,0.782441,11.8076,0.733503,0.449061,11.0454,15.8114,43.6871,0.69857,17,0.930082,6.44118,0.378893
453,28.4853,27.1199,37,43.5,0.850575,0.952066,6.86366,0.632173,0.573021,5,10.4403,24.764,0.478913,10,1.04403,3.7,0.37
454,48.8701,36.2374,67.5,91.5,0.737705,0.741505,9.27058,0.645951,0.355163,9.84886,13.4536,33.8654,0.73206,12,1.12114,5.625,0.46875
455,99.1543,82.1984,371.5,467.5,0.794652,0.828995,21.7488,0.690942,0.474838,21.6333,30.4138,72.1754,0.711299,30,1.01379,12.3833,0.412778
456,7.41421,7.23607,2.5,3,0.833333,0.975972,1.78412,0.599991,0.571505,2,2.82843,10.0379,0.707107,2,1.41421,1.25,0.625
457,26.9706,25.7384,44,48.5,0.907216,0.954316,7.48482,0.834638,0.760121,7.07107,9.48683,29.7715,0.745356,6,1.58114,7.33333,1.22222
458,20.7279,19.7213,24.5,27,0.907407,0.951439,5.58519,0.791594,0.71658,5,7.61577,22.1183,0.656532,6,1.2693,4.08333,0.680556
459,68.1838,57.0764,103.5,199.5,0.518797,0.837097,11.4796,0.399243,0.279762,13.4536,22.2036,31.4905,0.605921,24,0.92515,4.3125,0.179688
460,84.4264,68.1828,115,189,0.608466,0.807601,12.1005,0.310855,0.202745,7.81025,30.5941,26.9204,0.255286,31,0.986907,3.70968,0.119667
461,29.799,25.5767,38,47,0.808511,0.858306,6.9558,0.729972,0.537762,6.7082,9.43398,27.162,0.711068,7,1.34771,5.42857,0.77551
462,155.095,99.1876,451.5,699.5,0.645461,0.639526,23.9764,0.576704,0.235868,30.4795,33.6006,82.5729,0.907112,46,0.730448,9.81522,0.213374
463,212.551,136.268,842.5,1318,0.639226,0.641104,32.7522,0.570157,0.234343,38.6264,48.2701,102.59,0.800215,58,0.832243,14.5259,0.250446
464,1183.39,420.439,7861,12524.5,0.62765,0.355283,100.045,0.558833,0.0705393,106.607,153.219,289.671,0.695781,181,0.846513,43.4309,0.23995
465,216.208,126.479,551.5,994.5,0.55455,0.584987,26.4989,0.43323,0.148256,32.0624,46.6476,72.6048,0.687333,59,0.790638,9.34746,0.158431
466,35.799,33.7768,63,74,0.851351,0.943514,8.95623,0.693925,0.617744,9.21954,13.3417,30.4821,0.691034,13,1.02628,4.84615,0.372781
467,71.6985,66.0008,260.5,288,0.904514,0.920533,18.2121,0.751483,0.636792,14.8661,25.4951,61.6363,0.583095,20,1.27475,13.025,0.65125
468,11.6569,11.6569,10,10,1,1,3.56825,0.924799,0.924799,3,4.12311,17.1631,0.727607,2,2.06155,5,2.5
469,26.9706,24.2978,35,41,0.853659,0.900902,6.67558,0.744976,0.604641,6.08276,9.21954,24.9373,0.659768,1,9.21954,35,35
470,59.6985,50.5327,142.5,178,0.800562,0.846465,13.4698,0.701261,0.502456,12.8062,18.7883,47.0372,0.681608,16,1.17427,8.90625,0.556641
471,93.0122,76.4971,286.5,377,0.759947,0.822441,19.0993,0.615241,0.416155,19.7231,29.2746,60.7593,0.673728,28,1.04552,10.2321,0.365434
472,87.4975,71.143,269.5,345,0.781159,0.813086,18.524,0.669121,0.442362,17.0294,26.6833,61.4206,0.638203,26,1.02628,10.3654,0.398669
473,978.029,412.476,6896,11624,0.593255,0.421742,93.703,0.509343,0.090595,104.484,159.239,237.848,0.656149,195,0.816609,35.3641,0.181354
474,37.799,33.6653,56,73,0.767123,0.890641,8.44402,0.620914,0.492535,7.81025,12.8062,29.0949,0.609878,13,0.985096,4.30769,0.331361
475,55.1127,49.6678,94,121,0.77686,0.901205,10.94,0.478837,0.388897,10,21.095,28.9659,0.474045,20,1.05475,4.7,0.235
476,50.0416,46.4806,120.5,138,0.873188,0.928838,12.3865,0.700897,0.604692,10.198,18.868,39.8324,0.540495,12,1.57233,10.0417,0.836806
477,92.0833,72.2172,171,290,0.589655,0.78426,14.7555,0.412026,0.253422,16,28.6356,39.1405,0.558744,29,0.987436,5.89655,0.203329
478,78.4264,65.2129,221,285,0.775439,0.831517,16.7746,0.653033,0.451521,15.6205,25.4951,53.2721,0.612686,23,1.10848,9.6087,0.417769
479,204.551,146.131,1195.5,1527,0.782908,0.714396,39.0148,0.70352,0.35905,40.1123,53.3667,129.788,0.751637,51,1.04641,23.4412,0.459631
480,112.468,83.5903,333.5,464.5,0.717976,0.743236,20.6064,0.599783,0.33132,24.0832,29.1204,69.8503,0.82702,33,0.882438,10.1061,0.306244
481,117.296,85.5813,414.5,504.5,0.821606,0.729615,22.973,0.711176,0.378586,24.0416,30.5287,81.4423,0.78751,32,0.954021,12.9531,0.404785
482,629.879,279.505,2656.5,5130,0.517836,0.443743,58.1581,0.427309,0.0841405,72.4017,104.785,137.86,0.690951,114,0.919171,23.3026,0.204409
483,17.8995,17.7213,22.5,23,0.978261,0.990047,5.35237,0.900324,0.882492,5,6.32456,23.6818,0.790569,3,2.10819,7.5,2.5
484,224.108,148.565,1118,1475,0.757966,0.662919,37.7291,0.636528,0.27973,39.3192,59.2115,110.779,0.664047,66,0.897144,16.9394,0.256657
485,44.6274,39.6803,81,107.5,0.753488,0.889147,10.1554,0.646464,0.511083,11.6619,14.5602,36.6783,0.800943,13,1.12002,6.23077,0.47929
486,64.5269,57.3597,206.5,234,0.882479,0.888927,16.2149,0.788707,0.62323,13.8924,21.6333,57.502,0.642178,20,1.08167,10.325,0.51625
487,256.25,192.388,1856,2347.5,0.790628,0.750785,48.6121,0.63013,0.35519,56.0803,65.215,163.07,0.859929,69,0.945145,26.8986,0.389834
488,61.1127,57.1495,223,239.5,0.931106,0.93515,16.8503,0.858004,0.750329,14.5602,21.1896,62.8115,0.687139,14,1.51354,15.9286,1.13776
489,60.0416,52.8435,146.5,179,0.818436,0.880114,13.6576,0.659273,0.510673,13.1529,21.4709,42.8959,0.612594,20,1.07355,7.325,0.36625
490,67.598,59.2649,199,241,0.825726,0.876726,15.9177,0.711979,0.547262,17.0294,20.8806,57.5109,0.81556,17,1.22827,11.7059,0.688581
491,26.9706,23.0908,26,35,0.742857,0.856149,5.75363,0.612779,0.449162,5.65685,8.544,21.979,0.662085,10,0.8544,2.6,0.26
492,25.8995,24.5645,33.5,38.5,0.87013,0.948456,6.53097,0.697651,0.627584,6.32456,9.21954,25.5321,0.685994,8,1.15244,4.1875,0.523438
493,32.1421,31.3969,66,69.5,0.94964,0.976813,9.167,0.841359,0.802794,8.06226,12.0416,34.1743,0.669534,7,1.72023,9.42857,1.34694
494,24.7279,23.5432,33.5,35.5,0.943662,0.95209,6.53097,0.759493,0.688461,5,9.89949,23.4303,0.505076,6,1.64992,5.58333,0.930556
495,218.108,165.559,1021,1280,0.797656,0.75907,36.0552,0.468091,0.269708,24.6982,69.3542,85.6443,0.356117,66,1.05082,15.4697,0.234389
496,44.0416,39.6607,46.5,70,0.664286,0.900527,7.69452,0.371486,0.301256,6.7082,18.3848,19.0688,0.364878,16,1.14905,2.90625,0.181641
